customer_id	gadget	revenues
K100820	D	40
K100820	F	58
K100820	J	102
K100830	A	8
K100830	B	21
K100830	C	31
K100830	E	51
K100840	C	28
K100840	E	50
K100840	F	59
K100840	I	91
K100840	J	97
K100860	A	10
K100860	B	21
K100860	D	42
K100860	E	47
K100860	I	91
K100860	J	100
K100870	H	79
K100870	L	119
K100880	F	60
K100880	G	67
K100880	L	122
K100890	L	120
K100900	A	11
K100900	C	29
K100900	D	41
K100920	B	15
K100920	C	33
K100930	A	7
K100930	B	17
K100930	D	43
K100940	A	9
K100940	B	20
K100940	D	44
K100950	E	48
K100950	F	58
K100980	B	18
K100980	E	51
K100980	F	62
K100980	G	66
K100980	J	97
K100990	K	110
K101010	A	7
K101010	B	20
K101010	D	37
K101020	I	90
K101020	J	105
K101020	K	109
K101030	B	17
K101030	C	28
K101030	D	40
K101030	F	58
K101030	G	74
K101040	B	19
K101040	C	29
K101050	A	9
K101050	B	18
K101050	C	29
K101060	A	9
K101060	B	22
K101070	E	49
K101070	F	61
K101070	G	69
K101080	E	50
K101080	F	61
K101080	H	81
K101090	E	47
K101090	F	60
K101090	H	82
K101090	J	98
K101100	B	17
K101100	C	35
K101100	D	36
K101110	E	49
K101110	G	69
K101110	L	123
K101140	H	76
K101140	J	103
K101140	L	123
K101150	B	21
K101150	C	33
K101150	D	38
K101150	E	52
K101150	H	81
K101150	J	101
K101160	H	81
K101160	I	88
K101170	A	14
K101180	A	10
K101180	B	18
K101180	C	32
K101180	D	39
K101180	E	47
K101200	B	21
K101200	C	33
K101200	D	40
K101200	G	70
K101210	B	16
K101210	G	71
K101210	K	106
K101210	L	118
K101220	I	95
K101230	A	9
K101230	D	41
K101240	L	123
K101250	I	92
K101260	C	32
K101270	A	12
K101270	C	26
K101270	D	37
K101270	E	46
K101270	L	122
K101280	B	20
K101290	E	47
K101290	G	70
K101300	E	50
K101330	I	86
K101330	J	103
K101340	B	19
K101340	C	30
K101340	D	36
K101340	J	99
K101360	A	12
K101360	B	21
K101360	C	29
K101360	D	39
K101360	G	72
K101360	I	88
K101380	A	11
K101380	B	21
K101380	C	27
K101390	I	89
K101420	K	109
K101430	H	81
K101430	I	90
K101430	K	106
K101440	D	40
K101450	A	8
K101450	C	30
K101450	D	38
K101460	I	93
K101470	K	109
K101490	A	12
K101490	B	21
K101490	J	99
K101500	F	59
K101500	I	86
K101520	K	112
K101530	B	20
K101530	C	24
K101530	D	43
K101530	E	46
K101550	K	107
K101560	F	59
K101560	G	72
K101560	H	83
K101560	J	103
K101570	H	84
K101570	J	101
K101580	E	49
K101590	D	36
K101590	H	79
K101590	I	91
K101590	J	98
K101610	G	69
K101610	H	78
K101610	I	91
K101620	D	36
K101620	H	81
K101620	J	96
K101630	E	50
K101630	K	108
K101640	I	88
K101640	J	98
K101660	B	24
K101660	C	27
K101660	D	38
K101660	E	54
K101660	H	76
K101670	A	6
K101670	C	30
K101670	F	64
K101670	G	66
K101670	L	123
K101680	A	11
K101680	D	38
K101680	I	88
K101690	L	120
K101700	H	84
K101720	B	19
K101720	C	31
K101720	D	33
K101720	H	82
K101720	I	90
K101730	E	52
K101730	G	63
K101740	F	60
K101750	B	16
K101750	E	53
K101750	F	60
K101760	F	62
K101760	L	123
K101770	H	77
K101770	I	89
K101790	C	29
K101800	A	7
K101800	B	21
K101800	C	29
K101800	H	77
K101800	I	85
K101810	H	79
K101810	I	86
K101820	F	61
K101820	I	88
K101820	J	99
K101830	I	94
K101840	A	5
K101840	B	19
K101840	C	28
K101870	H	82
K101870	L	116
K101910	C	30
K101920	A	7
K101920	B	19
K101920	D	38
K101920	J	99
K101930	C	33
K101930	K	112
K101950	F	56
K101950	G	67
K101970	I	88
K101980	F	62
K101980	G	68
K101990	K	106
K102000	I	89
K102000	J	97
K102010	B	16
K102010	C	31
K102030	E	51
K102030	G	72
K102030	L	116
K102040	B	19
K102040	C	29
K102040	D	47
K102040	I	88
K102050	A	13
K102050	B	18
K102050	C	27
K102050	I	91
K102050	J	104
K102060	F	59
K102060	G	72
K102080	G	70
K102080	H	78
K102080	I	93
K102090	A	11
K102090	B	19
K102090	C	29
K102100	H	77
K102100	I	89
K102100	L	116
K102120	J	96
K102130	B	19
K102130	C	28
K102130	D	41
K102140	A	9
K102140	H	77
K102150	A	11
K102150	B	17
K102150	C	28
K102150	H	76
K102160	B	20
K102160	F	60
K102170	E	50
K102170	F	57
K102170	K	110
K102180	A	9
K102180	B	22
K102180	D	41
K102190	G	71
K102190	K	103
K102200	B	19
K102200	C	28
K102200	D	43
K102210	E	50
K102210	F	57
K102220	A	8
K102220	C	29
K102220	D	41
K102230	D	39
K102240	A	6
K102240	C	27
K102250	K	110
K102270	A	9
K102270	J	99
K102280	B	21
K102280	C	28
K102280	D	38
K102300	E	50
K102300	L	124
K102310	E	55
K102310	F	60
K102330	A	10
K102330	B	20
K102330	D	39
K102330	E	50
K102330	G	73
K102340	B	21
K102340	C	33
K102340	D	37
K102340	E	49
K102350	A	13
K102350	G	71
K102370	C	29
K102380	K	110
K102410	E	46
K102410	I	86
K102410	K	105
K102420	H	82
K102430	B	20
K102430	C	26
K102430	D	44
K102430	G	68
K102440	F	63
K102450	H	84
K102450	L	119
K102460	A	10
K102460	C	29
K102460	D	38
K102470	G	68
K102470	L	118
K102480	H	78
K102490	B	18
K102500	A	11
K102500	C	29
K102500	D	40
K102500	G	68
K102510	B	17
K102510	C	31
K102510	D	37
K102510	H	79
K102510	I	91
K102510	J	104
K102530	G	70
K102530	K	111
K102550	D	38
K102550	G	72
K102550	H	81
K102560	B	21
K102560	C	28
K102560	D	40
K102570	B	22
K102570	C	31
K102570	D	41
K102570	H	78
K102570	I	88
K102580	G	74
K102590	B	22
K102600	A	6
K102600	B	21
K102600	C	26
K102600	D	37
K102600	G	71
K102600	H	80
K102600	I	91
K102600	J	99
K102600	L	119
K102610	A	15
K102610	B	17
K102610	D	40
K102610	H	79
K102610	J	97
K102620	D	38
K102620	H	80
K102620	I	86
K102620	J	99
K102620	K	114
K102630	A	8
K102630	B	22
K102630	D	41
K102640	A	10
K102640	B	18
K102640	C	31
K102640	D	40
K102640	E	51
K102640	F	56
K102640	G	70
K102640	H	79
K102640	I	89
K102640	J	100
K102650	A	8
K102650	C	33
K102650	D	41
K102650	K	106
K102650	L	121
K102660	A	10
K102660	B	20
K102660	C	25
K102660	H	78
K102660	I	87
K102660	J	95
K102670	A	7
K102670	B	16
K102670	D	38
K102670	G	71
K102670	J	102
K102680	A	7
K102680	C	28
K102680	D	38
K102680	E	50
K102680	F	62
K102680	G	65
K102690	A	9
K102690	B	18
K102690	C	32
K102690	D	43
K102690	H	84
K102690	J	101
K102700	B	18
K102700	C	32
K102700	D	40
K102700	G	70
K102710	A	11
K102710	B	26
K102710	C	28
K102710	D	39
K102710	K	110
K102720	A	8
K102720	B	21
K102720	C	27
K102720	D	37
K102720	H	77
K102720	I	95
K102720	K	113
K102730	A	14
K102730	I	87
K102730	J	98
K102730	K	112
K102730	L	120
K102740	A	14
K102740	B	18
K102740	C	30
K102740	D	41
K102740	K	111
K102750	A	7
K102750	B	16
K102750	C	28
K102750	D	37
K102750	E	51
K102750	F	57
K102750	G	67
K102750	J	99
K102750	L	120
K102760	H	78
K102760	I	90
K102760	J	98
K102760	K	110
K102760	L	121
K102770	A	12
K102770	C	32
K102770	D	37
K102770	K	108
K102780	D	43
K102780	E	53
K102780	F	55
K102780	G	72
K102780	H	77
K102780	I	89
K102780	J	102
K102790	H	81
K102790	I	89
K102790	J	100
K102800	B	21
K102800	C	28
K102800	D	40
K102810	H	79
K102810	I	90
K102810	J	99
K102820	A	13
K102820	C	29
K102820	H	79
K102820	I	91
K102830	A	7
K102830	B	24
K102830	D	46
K102830	E	49
K102830	F	57
K102830	L	120
K102840	A	10
K102840	B	19
K102840	D	37
K102840	H	82
K102840	J	98
K102850	A	8
K102850	B	18
K102850	C	34
K102850	D	41
K102850	H	79
K102850	K	113
K102850	L	113
K102860	A	9
K102860	C	31
K102860	D	34
K102860	K	112
K102860	L	121
K102870	B	15
K102870	C	25
K102870	D	41
K102870	E	47
K102870	F	57
K102870	H	83
K102870	J	104
K102880	A	12
K102880	D	44
K102880	E	50
K102880	G	70
K102880	H	78
K102880	I	89
K102880	J	102
K102890	E	54
K102890	G	77
K102890	I	90
K102890	J	102
K102900	E	50
K102900	H	79
K102900	I	94
K102900	J	99
K102910	H	84
K102910	I	93
K102910	J	99
K102920	B	19
K102920	C	28
K102920	D	41
K102920	G	69
K102930	A	9
K102930	B	20
K102930	C	29
K102930	D	43
K102930	J	95
K102940	H	76
K102940	I	89
K102940	J	93
K102950	A	8
K102950	B	18
K102950	C	30
K102950	D	42
K102960	A	8
K102960	B	18
K102960	C	29
K102960	G	68
K102970	A	9
K102970	B	18
K102970	C	33
K102970	D	40
K102970	E	48
K102970	G	63
K102980	E	54
K102980	F	59
K102980	G	69
K102980	H	79
K102980	I	92
K102980	J	99
K102990	H	78
K102990	I	91
K102990	J	99
K102990	K	112
K103000	A	9
K103000	B	16
K103000	C	28
K103000	D	40
K103000	H	78
K103000	I	90
K103000	J	101
K103010	C	30
K103010	H	82
K103010	I	93
K103010	J	99
K103020	H	80
K103020	I	91
K103020	J	97
K103030	A	12
K103030	B	20
K103030	C	33
K103030	D	39
K103030	J	98
K103040	A	11
K103040	D	38
K103040	J	100
K103040	K	109
K103050	H	79
K103050	I	89
K103050	J	105
K103050	K	113
K103060	A	11
K103060	B	19
K103060	C	30
K103060	D	42
K103070	A	10
K103070	C	26
K103070	D	41
K103070	E	46
K103070	H	76
K103070	I	93
K103070	J	101
K103080	A	5
K103080	B	19
K103080	C	25
K103080	D	40
K103080	I	86
K103080	J	104
K103090	A	11
K103090	B	20
K103090	C	33
K103090	H	77
K103090	I	90
K103100	A	7
K103100	B	21
K103100	C	30
K103100	D	40
K103110	A	18
K103110	C	28
K103110	D	35
K103110	F	60
K103110	H	84
K103110	I	90
K103110	J	99
K103110	L	123
K103120	A	9
K103120	B	23
K103120	D	39
K103120	H	80
K103120	J	97
K103120	K	109
K103130	F	57
K103130	G	71
K103130	H	77
K103130	I	88
K103130	J	96
K103130	L	118
K103140	B	18
K103140	C	31
K103140	D	40
K103140	H	78
K103140	I	92
K103140	J	98
K103150	F	56
K103150	H	81
K103150	I	87
K103150	J	101
K103150	K	111
K103150	L	123
K103160	A	8
K103160	B	15
K103160	C	26
K103160	D	39
K103160	E	47
K103160	F	62
K103160	G	70
K103160	H	80
K103160	I	84
K103160	K	109
K103170	H	79
K103170	J	97
K103180	B	21
K103180	C	32
K103180	D	42
K103190	A	7
K103190	C	30
K103190	D	43
K103190	E	52
K103190	F	56
K103190	G	70
K103200	E	48
K103200	F	58
K103200	G	66
K103200	I	88
K103200	J	104
K103200	K	108
K103210	A	10
K103210	B	17
K103210	C	28
K103210	D	34
K103210	E	48
K103210	F	59
K103210	G	69
K103220	H	82
K103220	I	85
K103220	J	100
K103230	A	9
K103230	B	16
K103230	C	27
K103230	D	39
K103230	E	53
K103230	F	63
K103230	G	71
K103230	K	110
K103230	L	117
K103240	H	77
K103240	I	85
K103240	J	100
K103240	L	121
K103250	A	5
K103250	B	20
K103250	C	28
K103250	D	42
K103250	H	81
K103250	I	90
K103250	K	103
K103260	A	8
K103260	C	29
K103260	D	43
K103260	H	81
K103260	I	94
K103260	J	99
K103260	K	110
K103270	A	6
K103270	B	21
K103270	C	30
K103270	K	108
K103280	E	53
K103280	F	60
K103280	I	91
K103280	J	97
K103290	A	10
K103290	B	19
K103290	C	27
K103290	D	42
K103290	E	51
K103290	F	61
K103290	G	71
K103290	K	109
K103290	L	122
K103300	A	11
K103300	B	19
K103300	C	28
K103300	D	39
K103300	H	83
K103300	J	98
K103310	H	81
K103310	I	91
K103310	J	105
K103320	A	12
K103320	B	18
K103320	C	26
K103320	D	39
K103320	H	77
K103320	I	90
K103320	J	93
K103330	A	8
K103330	B	20
K103330	D	43
K103330	I	87
K103330	J	98
K103340	E	52
K103340	F	66
K103340	H	77
K103340	I	87
K103340	J	102
K103350	A	7
K103350	B	19
K103350	C	36
K103350	D	39
K103360	A	11
K103360	B	16
K103360	C	24
K103360	E	47
K103360	F	59
K103360	G	65
K103360	H	85
K103360	K	108
K103370	A	8
K103370	B	14
K103370	C	33
K103370	D	41
K103380	A	7
K103380	C	27
K103380	D	38
K103380	E	51
K103390	B	18
K103390	D	43
K103400	H	76
K103400	I	90
K103400	J	99
K103410	A	12
K103410	C	29
K103410	H	79
K103410	I	92
K103410	J	99
K103420	A	11
K103420	B	17
K103420	D	40
K103430	A	10
K103430	B	20
K103430	C	26
K103430	D	40
K103430	J	100
K103440	J	101
K103440	K	107
K103450	H	78
K103450	I	92
K103450	J	97
K103450	L	121
K103460	B	19
K103460	C	34
K103460	D	40
K103460	G	69
K103470	B	20
K103470	C	22
K103470	D	40
K103480	A	8
K103480	B	23
K103480	C	33
K103490	B	16
K103490	C	25
K103490	D	38
K103500	E	50
K103500	F	60
K103500	G	69
K103500	I	93
K103500	J	97
K103500	K	110
K103500	L	124
K103510	B	21
K103510	C	30
K103510	D	41
K103510	H	81
K103510	J	98
K103520	A	11
K103520	B	19
K103520	C	28
K103520	E	51
K103520	G	71
K103520	I	88
K103520	J	100
K103530	A	10
K103530	C	31
K103530	D	43
K103530	H	77
K103540	B	19
K103540	C	26
K103540	D	37
K103550	C	32
K103550	H	76
K103550	I	92
K103550	J	101
K103560	H	82
K103560	I	86
K103570	A	4
K103570	B	16
K103570	C	29
K103570	D	41
K103570	E	53
K103570	F	58
K103570	G	74
K103570	H	74
K103580	E	53
K103580	F	59
K103580	G	66
K103580	H	81
K103580	I	94
K103580	J	103
K103590	B	20
K103590	D	40
K103590	K	109
K103590	L	119
K103600	A	10
K103600	B	20
K103600	C	30
K103600	D	36
K103610	E	55
K103610	H	83
K103610	I	88
K103610	J	104
K103610	K	110
K103620	F	64
K103620	G	66
K103620	H	82
K103620	I	87
K103620	J	100
K103630	A	8
K103630	C	30
K103630	D	33
K103630	J	97
K103630	L	118
K103640	A	7
K103640	I	90
K103640	J	99
K103640	K	110
K103640	L	123
K103650	E	45
K103650	G	70
K103650	H	79
K103650	I	89
K103650	J	106
K103650	K	108
K103650	L	124
K103660	I	89
K103660	J	97
K103660	K	110
K103660	L	121
K103670	A	11
K103670	C	31
K103670	D	44
K103670	H	81
K103670	I	90
K103670	K	113
K103670	L	117
K103680	A	13
K103680	C	28
K103680	D	37
K103680	E	49
K103680	F	59
K103680	G	72
K103690	I	89
K103690	J	94
K103700	B	20
K103700	C	35
K103700	D	40
K103700	E	50
K103700	F	58
K103700	G	66
K103700	H	84
K103700	J	101
K103710	B	19
K103710	C	32
K103710	D	38
K103720	A	8
K103720	C	32
K103720	D	41
K103720	E	51
K103720	G	72
K103730	A	14
K103730	B	16
K103730	C	31
K103730	D	41
K103730	E	48
K103730	F	59
K103730	H	81
K103730	I	88
K103730	K	113
K103740	A	12
K103740	B	23
K103740	C	33
K103740	D	42
K103740	E	51
K103740	G	66
K103740	K	111
K103740	L	120
K103750	A	9
K103750	B	17
K103750	C	33
K103750	E	54
K103750	F	55
K103750	G	67
K103750	H	78
K103750	I	91
K103750	L	120
K103760	A	10
K103770	A	11
K103770	C	30
K103770	D	37
K103770	H	76
K103770	I	92
K103770	K	113
K103770	L	120
K103780	A	13
K103780	B	19
K103780	C	29
K103790	H	82
K103790	I	91
K103790	J	100
K103790	K	113
K103790	L	123
K103800	A	8
K103800	B	19
K103800	C	31
K103800	E	49
K103800	G	67
K103810	A	9
K103810	B	18
K103810	C	29
K103810	D	42
K103810	K	111
K103820	A	10
K103820	B	14
K103820	C	22
K103820	D	39
K103820	E	49
K103820	F	56
K103820	G	64
K103820	I	87
K103820	J	97
K103830	B	19
K103830	C	32
K103830	D	38
K103830	H	84
K103830	J	101
K103840	E	53
K103840	G	71
K103840	H	80
K103840	I	90
K103840	J	100
K103840	K	112
K103840	L	118
K103850	E	47
K103850	G	70
K103850	I	92
K103850	J	104
K103850	K	107
K103850	L	119
K103860	A	7
K103860	C	32
K103860	D	42
K103860	G	65
K103870	A	11
K103870	B	22
K103870	D	39
K103870	G	63
K103870	K	105
K103880	A	6
K103880	B	19
K103880	C	31
K103880	D	39
K103890	A	9
K103890	B	22
K103890	C	31
K103890	D	39
K103890	H	80
K103890	J	100
K103900	A	9
K103900	B	17
K103900	C	30
K103900	D	40
K103900	E	51
K103900	F	62
K103900	G	70
K103900	H	84
K103910	A	12
K103910	B	16
K103910	C	31
K103910	D	42
K103910	I	88
K103910	K	108
K103910	L	116
K103920	A	8
K103920	B	19
K103920	C	31
K103920	D	44
K103920	K	111
K103920	L	122
K103930	A	9
K103930	B	19
K103930	C	28
K103940	A	9
K103940	B	25
K103940	C	30
K103940	D	36
K103950	B	22
K103950	D	40
K103950	K	108
K103960	H	77
K103960	I	90
K103960	J	101
K103960	K	111
K103960	L	115
K103970	A	12
K103970	B	22
K103970	C	29
K103970	D	43
K103970	K	108
K103970	L	116
K103980	D	44
K103980	I	93
K103980	J	99
K103990	A	9
K103990	B	19
K103990	C	23
K103990	D	39
K103990	G	69
K104000	B	21
K104000	C	27
K104000	D	39
K104000	H	83
K104010	A	8
K104010	C	29
K104010	D	35
K104010	F	59
K104010	G	66
K104010	H	76
K104020	H	79
K104020	I	93
K104020	J	93
K104020	K	107
K104030	H	78
K104030	I	87
K104030	J	101
K104030	K	111
K104040	A	5
K104040	B	18
K104040	C	30
K104040	E	48
K104040	G	68
K104040	L	121
K104050	H	80
K104050	I	92
K104060	A	11
K104060	B	18
K104060	C	29
K104060	D	41
K104060	H	84
K104060	I	88
K104060	J	97
K104070	A	8
K104070	B	20
K104070	C	27
K104070	D	44
K104080	A	11
K104080	B	20
K104080	D	42
K104080	H	81
K104080	I	90
K104080	J	100
K104090	A	15
K104090	B	18
K104090	C	26
K104100	B	18
K104100	C	27
K104100	D	43
K104100	H	79
K104110	A	11
K104110	C	29
K104110	D	41
K104120	A	11
K104120	B	16
K104120	C	32
K104120	D	40
K104120	K	108
K104120	L	120
K104130	A	13
K104130	B	17
K104130	C	27
K104130	D	39
K104130	E	53
K104130	F	60
K104130	G	69
K104130	H	80
K104130	I	91
K104130	J	99
K104140	A	12
K104140	B	18
K104140	C	30
K104140	D	39
K104140	K	110
K104140	L	122
K104150	A	9
K104150	B	22
K104150	C	30
K104150	D	41
K104150	H	82
K104150	J	100
K104160	A	11
K104160	B	22
K104160	C	33
K104160	D	35
K104160	E	54
K104160	F	55
K104160	G	68
K104160	K	106
K104160	L	123
K104170	A	10
K104170	B	16
K104170	C	30
K104170	H	80
K104170	I	91
K104180	A	9
K104180	H	80
K104180	I	89
K104180	J	101
K104190	I	91
K104190	J	98
K104190	K	104
K104190	L	119
K104200	A	10
K104200	B	20
K104200	C	28
K104200	D	42
K104200	K	114
K104200	L	120
K104210	I	87
K104210	J	102
K104220	B	17
K104220	C	29
K104230	J	102
K104230	K	108
K104230	L	119
K104240	H	81
K104240	I	86
K104240	J	93
K104250	A	6
K104250	B	22
K104250	D	41
K104260	A	13
K104260	B	18
K104260	C	28
K104260	D	40
K104260	L	120
K104270	H	80
K104270	I	87
K104270	J	100
K104280	A	7
K104280	D	39
K104280	K	111
K104280	L	120
K104290	A	9
K104290	B	20
K104290	D	39
K104290	E	53
K104290	F	61
K104290	G	70
K104300	A	11
K104300	B	16
K104300	C	27
K104300	D	39
K104300	K	113
K104310	H	81
K104310	I	94
K104310	J	97
K104320	A	8
K104320	B	23
K104320	C	30
K104320	D	39
K104320	F	58
K104330	B	17
K104330	I	89
K104330	J	100
K104340	A	11
K104340	B	18
K104340	C	29
K104340	D	42
K104350	D	36
K104350	H	77
K104350	I	94
K104350	J	100
K104360	A	7
K104360	C	33
K104360	D	39
K104360	L	118
K104370	A	11
K104370	B	18
K104370	D	40
K104370	H	82
K104370	I	88
K104370	J	101
K104370	K	108
K104370	L	122
K104380	B	23
K104380	C	30
K104380	D	38
K104390	A	9
K104390	B	19
K104390	I	88
K104390	J	98
K104400	A	9
K104400	B	23
K104400	C	32
K104400	D	39
K104400	F	62
K104400	J	97
K104410	A	10
K104410	B	21
K104410	C	27
K104410	D	40
K104420	A	11
K104420	D	39
K104420	E	49
K104420	F	55
K104420	G	67
K104430	I	89
K104430	J	103
K104430	K	110
K104430	L	117
K104440	A	7
K104440	B	19
K104440	C	29
K104440	K	109
K104450	A	9
K104450	B	19
K104450	C	30
K104460	B	21
K104460	E	48
K104460	F	59
K104460	G	63
K104460	H	80
K104460	I	87
K104460	J	103
K104470	A	10
K104470	B	19
K104470	C	29
K104470	D	40
K104470	H	83
K104470	I	89
K104470	K	111
K104470	L	119
K104480	B	16
K104480	D	46
K104490	H	73
K104490	I	86
K104490	J	98
K104490	K	109
K104490	L	119
K104500	A	9
K104500	B	20
K104500	C	31
K104510	A	9
K104510	B	17
K104510	C	36
K104510	D	39
K104510	H	77
K104510	I	93
K104510	J	96
K104510	L	117
K104520	A	8
K104520	B	22
K104520	D	42
K104520	L	121
K104530	H	84
K104530	I	89
K104530	J	100
K104540	A	10
K104540	B	22
K104540	C	31
K104540	D	40
K104550	A	8
K104550	B	22
K104550	C	27
K104550	D	38
K104550	E	52
K104550	F	60
K104550	G	72
K104550	K	110
K104550	L	122
K104560	A	11
K104560	C	32
K104560	D	42
K104560	F	63
K104560	G	69
K104570	A	12
K104570	B	22
K104570	C	30
K104570	D	43
K104580	A	9
K104580	C	30
K104580	D	39
K104580	E	51
K104590	A	7
K104590	B	20
K104590	C	24
K104600	A	13
K104600	B	19
K104600	C	28
K104600	D	39
K104600	E	52
K104600	G	70
K104600	K	108
K104600	L	117
K104610	B	16
K104610	C	28
K104610	D	44
K104610	H	79
K104610	I	89
K104610	J	101
K104610	L	114
K104620	A	12
K104620	B	24
K104620	C	29
K104620	D	40
K104620	E	51
K104620	F	58
K104620	G	71
K104620	L	119
K104630	A	6
K104630	B	22
K104630	D	37
K104640	A	12
K104640	B	18
K104640	C	30
K104640	D	41
K104640	E	48
K104640	F	61
K104640	G	69
K104640	H	79
K104640	J	99
K104640	L	122
K104650	A	8
K104650	B	19
K104650	D	42
K104660	A	10
K104660	B	15
K104660	C	28
K104660	D	41
K104670	A	7
K104670	B	19
K104670	E	49
K104670	G	70
K104680	B	21
K104680	C	31
K104680	D	41
K104680	K	109
K104690	H	78
K104690	I	90
K104690	J	102
K104700	E	51
K104700	H	74
K104700	J	101
K104710	B	14
K104710	C	28
K104710	D	40
K104720	A	5
K104720	B	22
K104720	C	30
K104720	D	38
K104720	H	83
K104720	I	89
K104720	J	100
K104720	K	110
K104720	L	119
K104730	A	13
K104730	B	22
K104730	C	28
K104730	D	46
K104730	H	84
K104730	J	102
K104740	A	9
K104740	B	20
K104740	C	34
K104740	I	92
K104740	J	97
K104750	A	11
K104750	B	19
K104750	C	27
K104750	D	39
K104760	H	77
K104760	I	88
K104760	J	99
K104770	C	30
K104770	H	79
K104770	I	90
K104770	J	103
K104780	H	81
K104780	I	93
K104780	J	104
K104780	L	115
K104790	A	10
K104790	B	22
K104790	C	30
K104790	H	80
K104790	I	91
K104790	J	100
K104800	A	5
K104800	B	17
K104800	C	29
K104800	D	37
K104800	E	49
K104810	F	59
K104810	G	69
K104810	H	77
K104810	I	89
K104810	J	96
K104820	H	75
K104820	I	90
K104820	J	96
K104820	K	111
K104830	A	11
K104830	B	21
K104830	D	39
K104830	E	48
K104830	F	58
K104830	G	69
K104840	A	12
K104840	C	31
K104840	D	38
K104850	H	78
K104850	I	92
K104850	J	99
K104860	C	29
K104860	D	37
K104860	H	83
K104860	I	93
K104870	H	77
K104870	I	94
K104870	J	99
K104870	K	113
K104870	L	118
K104880	H	82
K104880	I	94
K104880	J	98
K104890	E	51
K104890	G	67
K104890	H	79
K104890	I	90
K104890	J	95
K104890	K	115
K104890	L	115
K104900	B	19
K104900	C	32
K104900	D	42
K104900	I	87
K104910	A	15
K104910	B	17
K104910	C	30
K104910	D	41
K104910	L	118
K104920	B	21
K104920	C	29
K104920	D	43
K104920	H	78
K104920	I	90
K104930	B	19
K104930	C	31
K104930	D	39
K104930	E	50
K104930	F	63
K104930	G	67
K104930	H	76
K104930	I	92
K104940	A	7
K104940	B	23
K104940	C	32
K104940	D	42
K104940	E	49
K104940	F	65
K104940	G	71
K104940	I	86
K104940	J	101
K104950	B	25
K104950	C	28
K104950	E	47
K104950	H	78
K104950	I	89
K104950	J	97
K104950	K	117
K104950	L	117
K104960	A	13
K104960	B	15
K104960	C	31
K104960	D	39
K104970	E	49
K104970	G	70
K104970	H	80
K104970	I	90
K104970	J	97
K104970	K	113
K104970	L	118
K104980	B	22
K104980	C	30
K104980	D	40
K104990	A	11
K104990	B	23
K104990	C	27
K104990	D	42
K104990	E	49
K104990	F	54
K104990	G	69
K105000	B	21
K105000	C	27
K105000	D	37
K105000	L	121
K105010	E	53
K105010	F	60
K105010	G	73
K105010	I	89
K105010	J	101
K105020	A	10
K105020	B	19
K105020	C	31
K105020	D	38
K105020	K	109
K105030	A	8
K105030	B	20
K105030	C	30
K105030	D	34
K105030	H	77
K105030	I	88
K105040	B	18
K105040	D	36
K105050	A	9
K105050	B	21
K105050	C	34
